"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5953","[Login] verify that the user cannot log in with both invalid username and password","chromium","2026-08-02","passed","2026-08-02","","login-module.spec.ts","",""
"","18720","[Login] verify that the user cannot log in with invalid username","chromium","2026-08-02","passed","2026-08-02","","login-module.spec.ts","",""
"","1","Temp test 3","chromium","2026-07-31","skipped","2026-07-31","","temp-test.spec.ts","",""
"","8205","[Login] verify that the user cannot log in with both invalid username and password","chromium","2026-08-02","passed","2026-08-02","Invalid Login Test","login-module.spec.ts","",""
"","28536","Global Setup for Auto login","Setup","2026-08-02","passed","2026-08-02","","global.setup.ts","",""
"","18827","[PIM] Verify that a new employee is successfully created under the PIM module","chromium","2026-08-02","passed","2026-08-02","","pim-module.spec.ts","",""
"","9836","[Login] verify that the user cannot log in with invalid password","chromium","2026-08-02","passed","2026-08-02","","login-module.spec.ts","",""
"","1","temp","chromium","2026-07-31","skipped","2026-07-31","","temp-test.spec.ts","",""
"","1","Temp test 2","chromium","2026-07-31","skipped","2026-07-31","","temp-test.spec.ts","",""
"","7203","[Login] verify that the user cannot log in with invalid username","chromium","2026-08-02","passed","2026-08-02","Invalid Login Test","login-module.spec.ts","",""
